filename,redshift,RA,DEC,Spectrum Size
RMID102.dat,0.860000,213.470800,52.579000,6917
RMID118.dat,0.714000,213.553300,52.535800,N/A
RMID134.dat,0.964000,212.727400,53.259100,N/A
RMID173.dat,0.970000,212.948300,52.570700,7183
RMID185.dat,0.987000,214.399800,52.508300,N/A
RMID192.dat,1.024000,214.206000,52.425300,N/A
RMID193.dat,1.003000,213.925700,52.368600,N/A
RMID204.dat,0.922000,213.090600,52.432400,7147
RMID211.dat,0.971000,213.841700,53.842600,N/A
RMID260.dat,0.995000,212.575200,52.579500,N/A
RMID316.dat,0.676000,215.218500,52.939600,6233
RMID329.dat,0.720000,214.249000,53.968500,6396
RMID356.dat,0.986000,213.891200,52.099500,N/A
RMID373.dat,0.884000,214.749000,52.302700,N/A
RMID407.dat,0.922000,215.315700,53.524600,7147
RMID428.dat,0.976000,214.734100,53.979200,N/A
RMID437.dat,0.856000,214.346200,54.111500,N/A
RMID440.dat,0.754000,215.538100,53.099900,6523
RMID460.dat,0.990000,214.143200,51.980400,7128
RMID469.dat,1.006000,215.276100,53.735300,N/A
RMID478.dat,0.957000,211.860300,52.786200,N/A
RMID492.dat,0.963000,212.975500,52.006500,N/A
RMID525.dat,0.863000,212.374000,53.991700,6928
RMID545.dat,0.979000,211.680300,53.272100,N/A
RMID572.dat,0.990000,214.541100,51.925500,7128
RMID588.dat,0.998000,215.767300,52.775000,7106
RMID593.dat,0.990000,214.098000,51.820200,N/A
RMID637.dat,0.848000,215.371900,52.198100,6872
RMID659.dat,0.922000,213.868300,51.719100,N/A
RMID664.dat,0.840000,213.009400,51.777400,N/A
RMID675.dat,0.918000,212.182500,54.130900,N/A
RMID736.dat,0.582000,211.285800,53.094200,5809
RMID762.dat,0.782000,214.829500,54.409100,N/A
RMID778.dat,0.786000,213.577300,54.422700,N/A
RMID783.dat,0.984000,213.332600,51.621700,N/A
RMID808.dat,0.956000,213.942500,54.165200,N/A
